TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
49,KATSINA,BAKORI,BAKORI B,BAKORI GARI III RAMALAN PRI. SCH. (NEW II),20-01-02-021,71
50,KATSINA,BAKORI,BAKORI B,BAKORI GARI IV FSA CLINIC (NEW),20-01-02-022,13
51,KATSINA,BAKORI,BAKORI B,UNG YARO K/G MAI UNGUWA,20-01-02-023,64
52,KATSINA,BAKORI,BAKORI B,YAN LAMBU ASIBITI,20-01-02-024,11
53,KATSINA,BAKORI,BAKORI B,UNG SANYI I RAMALAN ANNEX PRI SCH.,20-01-02-025,59
54,KATSINA,BAKORI,BAKORI B,UNG SANYI II RAMALAN ANNEX PRI. SCH. (NEW II),20-01-02-026,35
55,KATSINA,BAKORI,BAKORI B,UNG SANYI II OPPOSITE MOTOR PARK (NEW),20-01-02-027,18
56,KATSINA,BAKORI,BAKORI B,YAR GOGGO PRI. SCH.,20-01-02-028,58
57,KATSINA,BAKORI,BAKORI B,UNG SAMBO I K/G MAI UNG,20-01-02-029,47
58,KATSINA,BAKORI,BAKORI B,DR. HABIBU SANI PRI. SCH.,20-01-02-030,109
59,KATSINA,BAKORI,KURAMI/YANKWANI,KURAMI - PRI SCH.,20-01-03-001,1372
60,KATSINA,BAKORI,KURAMI/YANKWANI,KURAMI GARI - T.V. CENTRE,20-01-03-002,1072
61,KATSINA,BAKORI,KURAMI/YANKWANI,NABUKKA 1- PRI SCH.,20-01-03-003,612
62,KATSINA,BAKORI,KURAMI/YANKWANI,NABUKKA II - K/G MAI UNG,20-01-03-004,296
63,KATSINA,BAKORI,KURAMI/YANKWANI,KAFI AWO - K/G MAI UNG,20-01-03-005,774
64,KATSINA,BAKORI,KURAMI/YANKWANI,MASHANYA - K/G ALH. AMINU,20-01-03-006,568
65,KATSINA,BAKORI,KURAMI/YANKWANI,DOKA - K/G MAI UNG,20-01-03-007,342
66,KATSINA,BAKORI,KURAMI/YANKWANI,TARZANA - K/G MAI UNG,20-01-03-008,704
67,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO I K/G  MAI UNG.,20-01-03-009,1184
68,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO II PRI SCHOOL,20-01-03-010,1610
69,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO III - K/G ALH. ALI,20-01-03-011,1325
70,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO IV - K/G MAI UNG,20-01-03-012,926
71,KATSINA,BAKORI,KURAMI/YANKWANI,TSIGI - K/GMAI UNG,20-01-03-013,364
72,KATSINA,BAKORI,KURAMI/YANKWANI,UNG. LADAN - K/G MAI UNG,20-01-03-014,327
73,KATSINA,BAKORI,KURAMI/YANKWANI,RAFIN KANYA/UNG NAINO - K/G MAI UNG,20-01-03-015,745
74,KATSINA,BAKORI,KURAMI/YANKWANI,RINJI - K/G MAI UNG,20-01-03-016,450
75,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI GARI I - K/G MAI GARI,20-01-03-017,1171
76,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI GARI II PRI.SCH,20-01-03-018,955
77,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI YAMMA - K/G MAI UNG,20-01-03-019,634
78,KATSINA,BAKORI,KURAMI/YANKWANI,LAYIN RAMA - K/G MAI UNG,20-01-03-020,617
79,KATSINA,BAKORI,KURAMI/YANKWANI,GANJAR DANGOGGO - K/G MAI UNG,20-01-03-021,392
80,KATSINA,BAKORI,KURAMI/YANKWANI,"KARMA BA,AJO - K/G MAI UNG",20-01-03-022,716
81,KATSINA,BAKORI,KURAMI/YANKWANI,DANBAURE/UNG KURAMI - PRI SCHOOL,20-01-03-023,548
82,KATSINA,BAKORI,KURAMI/YANKWANI,MAKERA FULANI - K/G MAI UNG,20-01-03-024,915
83,KATSINA,BAKORI,KURAMI/YANKWANI,MIJIN YAWA DANDI - K/G MAI UNG,20-01-03-025,522
84,KATSINA,BAKORI,KURAMI/YANKWANI,GIDAN YAU NA TURA - K/G MAI UNG,20-01-03-026,181
85,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI MUMINI - PRI SCH.,20-01-03-027,495
86,KATSINA,BAKORI,KURAMI/YANKWANI,SARKIN FULANI BAKA - K/G MAI UNG,20-01-03-028,636
87,KATSINA,BAKORI,KURAMI/YANKWANI,BELEN GADA - PRI SCHOOL,20-01-03-029,853
88,KATSINA,BAKORI,KURAMI/YANKWANI,KURAMI GARI I KURAMI PRI. SCH. (NEW),20-01-03-030,05
89,KATSINA,BAKORI,KURAMI/YANKWANI,"KURAMI GARI I, UNG. TUMBAU",20-01-03-031,00
90,KATSINA,BAKORI,KURAMI/YANKWANI,KURAMI GARI T.V CENTER (NEW),20-01-03-032,01
91,KATSINA,BAKORI,KURAMI/YANKWANI,YAN LEMO,20-01-03-033,09
92,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO I K/G MAI UNG (NEW),20-01-03-034,03
93,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO II PRI SCH. (NEW I),20-01-03-035,17
94,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO II PRI SCH. (NEW II),20-01-03-036,03
95,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO III K/G MAI GARIN KWANTAKWARAM,20-01-03-037,01
96,KATSINA,BAKORI,KURAMI/YANKWANI,SAJO III K/G MAI GARIN DUTSEN REME,20-01-03-038,12
97,KATSINA,BAKORI,KURAMI/YANKWANI,HOUSING AUTHORITY OFFICE,20-01-03-039,23
98,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI GARI /IMAMU SCIENCE SCHOOL,20-01-03-040,01
99,KATSINA,BAKORI,KURAMI/YANKWANI,YANKWANI GARI II COMMUNITY  DAY SECONDARY SCH.,20-01-03-041,11
100,KATSINA,BAKORI,KURAMI/YANKWANI,DANMAYAKI PRI. SCH.,20-01-03-042,15
101,KATSINA,BAKORI,KURAMI/YANKWANI,MAI KARI PRI. SCH.,20-01-03-043,01
102,KATSINA,BAKORI,DAWAN MUSA,DAWAN MUSA GARI - MAI KWARI PRI. SCH.,20-01-04-001,526
103,KATSINA,BAKORI,DAWAN MUSA,RAFIN GORA I - K/G MAI UNG,20-01-04-002,482
104,KATSINA,BAKORI,DAWAN MUSA,KADAN YAR BAUSHE - K/G MAI UNG.,20-01-04-003,975
105,KATSINA,BAKORI,DAWAN MUSA,DANBATTA - TAMARKE,20-01-04-004,1797
106,KATSINA,BAKORI,DAWAN MUSA,UNG YARI BASO - K/G YARI,20-01-04-005,857
107,KATSINA,BAKORI,DAWAN MUSA,UNG WAZIRI - KANAWA PRI.SCH.,20-01-04-006,802
108,KATSINA,BAKORI,DAWAN MUSA,GWAMUTSAWA - K/G MAI UNG,20-01-04-007,593
109,KATSINA,BAKORI,DAWAN MUSA,UNG BAURE - UNG BAURE,20-01-04-008,337
110,KATSINA,BAKORI,DAWAN MUSA,GIDAN NAKULUWA - K/G MAI UNG.,20-01-04-009,535
111,KATSINA,BAKORI,DAWAN MUSA,UNG WAZIRI - K/G MAI UNG,20-01-04-010,626
112,KATSINA,BAKORI,DAWAN MUSA,RAFIN GORA II - UNG GABAS,20-01-04-011,548
113,KATSINA,BAKORI,DAWAN MUSA,UNG SHUDI - GIDAN SHUDI,20-01-04-012,654
114,KATSINA,BAKORI,DAWAN MUSA,RAFIN GORA III - COMMUNITY CENTRE,20-01-04-013,509
115,KATSINA,BAKORI,DAWAN MUSA,KADANYAR BAUSHE ASIBITI,20-01-04-014,01
116,KATSINA,BAKORI,DAWAN MUSA,UNG YARI BASO PRI. SCH. ,20-01-04-015,01
117,KATSINA,BAKORI,DAWAN MUSA,UNG WAZIRI KANAWA PRI SCH. (NEW),20-01-04-016,06
118,KATSINA,BAKORI,DAWAN MUSA,TAMARKE PRI. SCH.,20-01-04-017,05
119,KATSINA,BAKORI,DAWAN MUSA,KATOGE GINDIN MADACI,20-01-04-018,00
120,KATSINA,BAKORI,DAWAN MUSA,KWARIN DANBATTA PRI. SCH.,20-01-04-019,07
121,KATSINA,BAKORI,TSIGA,TSIGA GUBAS  K/G. LITIN WAZIRI,20-01-05-001,686
122,KATSINA,BAKORI,TSIGA,TSIGA YAMMA - PRI. SCH.,20-01-05-002,1190
123,KATSINA,BAKORI,TSIGA,TSIGA KUDU - K/G ALH. UMMARU,20-01-05-003,939
124,KATSINA,BAKORI,TSIGA,TSIGA TSAKIYA K/G MAL. YUNUSA,20-01-05-004,1112
125,KATSINA,BAKORI,TSIGA,MAITAKOBI - PRI SCH.,20-01-05-005,815
126,KATSINA,BAKORI,TSIGA,KWANAR AGWAGWA - K/G AGWAGWA,20-01-05-006,740
127,KATSINA,BAKORI,TSIGA,UNG MAZADU - K/G MAL. INUSA,20-01-05-007,738
128,KATSINA,BAKORI,TSIGA,WARDANGA - PRI SCHOOL,20-01-05-008,602
129,KATSINA,BAKORI,TSIGA,BABBAN KUFAI - PRI. SCHOOL,20-01-05-009,801
130,KATSINA,BAKORI,TSIGA,UJI A - K/G MAI UNG,20-01-05-010,428
131,KATSINA,BAKORI,TSIGA,MAKURDI HANYA I - K/G MAI UNG,20-01-05-011,1046
132,KATSINA,BAKORI,TSIGA,ZAGE-ZAGI - PRI SCHOOL,20-01-05-012,727
133,KATSINA,BAKORI,TSIGA,YARGAUTA - PRI SCHOOL,20-01-05-013,473
134,KATSINA,BAKORI,TSIGA,MAKURDI FULANI NOMADIC PRI. SCHOOL,20-01-05-014,1171
135,KATSINA,BAKORI,TSIGA,MAKURDI HANYA II MAIN ROAD,20-01-05-015,1114
136,KATSINA,BAKORI,TSIGA,TSIGA YAMMA PRI. SCH. (NEW),20-01-05-016,03
137,KATSINA,BAKORI,TSIGA,TSIGA B. PRIMARY SCH. (NEW) ,20-01-05-017,00
138,KATSINA,BAKORI,TSIGA,TSIGA FAMILY SUPPORT CENTRE (NEW) ,20-01-05-018,03
139,KATSINA,BAKORI,TSIGA,MAITAKOBI PRIMARY SCH. (NEW),20-01-05-019,00
140,KATSINA,BAKORI,TSIGA,HAYIN MAI NINGI PRI. SCH.,20-01-05-020,00
141,KATSINA,BAKORI,TSIGA,MAKURDIN HANYA I K/G MAI UNG (NEW),20-01-05-021,04
142,KATSINA,BAKORI,TSIGA,MAKURDIN FULANI NOMADIC PRI. SCH. (NEW),20-01-05-022,06
143,KATSINA,BAKORI,TSIGA,GIDAN MAHADI (NEW) ,20-01-05-023,00
144,KATSINA,BAKORI,KABOMO,KABOMO GARI I - PRI. SCHOOL,20-01-06-001,1557
145,KATSINA,BAKORI,KABOMO,KOFAR FADA - T.V. CENTRE,20-01-06-002,698
146,KATSINA,BAKORI,KABOMO,UNG. MAI GYADA K/G MAI UNG,20-01-06-003,1035
147,KATSINA,BAKORI,KABOMO,LAYIN KUKA - PRI SCHOOL,20-01-06-004,713
148,KATSINA,BAKORI,KABOMO,UNG MADAWAKI - K/G MAI UNG,20-01-06-005,584
149,KATSINA,BAKORI,KABOMO,GAZARA - PRI SCHOOL,20-01-06-006,695
150,KATSINA,BAKORI,KABOMO,GAZARA GANJAR - GINDIN CEDIYA,20-01-06-007,487
151,KATSINA,BAKORI,KABOMO,"UNG SA,ADU I PRI. SCHOOL",20-01-06-008,928
152,KATSINA,BAKORI,KABOMO,"UNG. SAADU II, - GINDIN MANGWARO",20-01-06-009,561
153,KATSINA,BAKORI,KABOMO,KABOMO GARI II - SARARIN LAYI,20-01-06-010,716
154,KATSINA,BAKORI,KABOMO,UNG MAI GYADA II - DANFILI,20-01-06-011,446
155,KATSINA,BAKORI,KABOMO,KUKA - UNG KUKA,20-01-06-012,449
156,KATSINA,BAKORI,KABOMO,KOFAR FADA II - BAKIN FADA,20-01-06-013,631
157,KATSINA,BAKORI,KABOMO,LAYIN GORA,20-01-06-014,60
158,KATSINA,BAKORI,KABOMO,MADARASATUL JANNATUL MA'AWA ISLAMIYYA,20-01-06-015,86
159,KATSINA,BAKORI,KABOMO,UNG. MAI GYADA GINDIN LEMO K/G SHUAIBU DRIVER,20-01-06-016,30
160,KATSINA,BAKORI,KABOMO,HAYIN LIMAN COMMUNITY CLINIC,20-01-06-017,36
161,KATSINA,BAKORI,BARDE/KWANTAKWARAN,BARDE - BARDE PRI. SCHOOL,20-01-07-001,1092
162,KATSINA,BAKORI,BARDE/KWANTAKWARAN,LAYIN MAHAUTA - K/G ALH.NUHU,20-01-07-002,593
163,KATSINA,BAKORI,BARDE/KWANTAKWARAN,RAFIN KARO - GINDIN CEDIYA,20-01-07-003,729
164,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG MAKAU - GINDIN RUNFA,20-01-07-004,410
165,KATSINA,BAKORI,BARDE/KWANTAKWARAN,ZANGON MARKE - K/G MAI UNG,20-01-07-005,623
166,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GIDAN MADUGU - K/G MAI UNG,20-01-07-006,515
167,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GIDAN MAIKAFI - DISPENSARY,20-01-07-007,565
168,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG YAMMA 1 T.V. CENTRE,20-01-07-008,601
169,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG YAMMA II K/G MAI GARI,20-01-07-009,697
170,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG KAWO - K/G MAI UNG,20-01-07-010,870
171,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GIDAN DODO - K/G MAI UNG,20-01-07-011,643
172,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG JALATU - K/G MAI UNG,20-01-07-012,856
173,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GOBIRAWA - NEAR MOSQUE,20-01-07-013,330
174,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG TANGA - K/G MAI UNG,20-01-07-014,670
175,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG KWANKI - BAKIN KANTIN ALH.RIGA,20-01-07-015,644
176,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GIDAN BAKORI - NEAR ISLAMIYA PRI. SCHOOL,20-01-07-016,442
177,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG AMFANI - KANTIN MAL. YAHAYA,20-01-07-017,472
178,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG DAMBIRI - K/G MAI UNG,20-01-07-018,424
179,KATSINA,BAKORI,BARDE/KWANTAKWARAN,TUDUN WADA - YAR YARA UNDER TREE,20-01-07-019,677
180,KATSINA,BAKORI,BARDE/KWANTAKWARAN,BARDE - BARDE PRI. SCH. (NEW),20-01-07-020,00
181,KATSINA,BAKORI,BARDE/KWANTAKWARAN,GIGO UNG KAWO,20-01-07-021,00
182,KATSINA,BAKORI,BARDE/KWANTAKWARAN,UNG JALATU PRI. SCH.,20-01-07-022,01
183,KATSINA,BAKORI,JARGABA,JARGABA AREWA - K/G LAWAL NA LAKO,20-01-08-001,784
184,KATSINA,BAKORI,JARGABA,JARGABA TSAKIYA K/G MAL. MATI,20-01-08-002,779
185,KATSINA,BAKORI,JARGABA,DANGANA GARI - K/G MAI UNG,20-01-08-003,620
186,KATSINA,BAKORI,JARGABA,SHUWAKI I PRI. SCH.,20-01-08-004,737
187,KATSINA,BAKORI,JARGABA,SHUWAKI II PRI. SCH.,20-01-08-005,601
188,KATSINA,BAKORI,JARGABA,DANGANA KAWARI - K/G DAHIRU,20-01-08-006,602
189,KATSINA,BAKORI,JARGABA,UNG NOMA - K/G ALH.GARBA,20-01-08-007,734
190,KATSINA,BAKORI,JARGABA,UNG DOGO 1 - K/G MAI UNG,20-01-08-008,562
191,KATSINA,BAKORI,JARGABA,MAKURDI I K/G ALH.SULE,20-01-08-009,853
192,KATSINA,BAKORI,JARGABA,JARGABA KUDU K/G ALI DUTSI,20-01-08-010,804
193,KATSINA,BAKORI,JARGABA,MAKURDI II - K/G MAI UNG,20-01-08-011,758
194,KATSINA,BAKORI,JARGABA,UNG DOGO II - K/G MAI GARI,20-01-08-012,378
195,KATSINA,BAKORI,JARGABA,MAKRUDI 'A' K/G ALH SULE (PRI. SCH. ) NEW I,20-01-08-013,02
196,KATSINA,BAKORI,JARGABA,MARKUDI 'A' K/G ALH SULE (PRI. SCH.) NEW II,20-01-08-014,02
197,KATSINA,BAKORI,KAKUMI,NA ALHAJI - K/G MAI UNG,20-01-09-001,630
198,KATSINA,BAKORI,KAKUMI,KOSHE 1-K/G MAI UNG,20-01-09-002,397
199,KATSINA,BAKORI,KAKUMI,KOSHE II - K/G MAI UNG,20-01-09-003,415
200,KATSINA,BAKORI,KAKUMI,MUKADDAS I  K/G MAI UNG,20-01-09-004,447
201,KATSINA,BAKORI,KAKUMI,MUKADDAS II - K/G MAI UNG,20-01-09-005,456
202,KATSINA,BAKORI,KAKUMI,MAKERA - K/G MAI UNG,20-01-09-006,474
203,KATSINA,BAKORI,KAKUMI,ZAMFARAWA - K/G MAI UNG.,20-01-09-007,648
204,KATSINA,BAKORI,KAKUMI,KOFAR FADA - T.V. CENTRE,20-01-09-008,710
205,KATSINA,BAKORI,KAKUMI,UNG. LIMAN RAYYA I - K/G MAI UNG,20-01-09-009,617
206,KATSINA,BAKORI,KAKUMI,UNG. LIMAN RAYYA II- MAI UNG,20-01-09-010,548
207,KATSINA,BAKORI,KAKUMI,NA SAMBO - K/G MAI UNG,20-01-09-011,529
208,KATSINA,BAKORI,KAKUMI,DUNHUI - PRI SCHOOL.,20-01-09-012,460
209,KATSINA,BAKORI,KAKUMI,MAKARANTA PRI SCHOOL,20-01-09-013,635
210,KATSINA,BAKORI,KAKUMI,DANWAILA - K/G MAI UNG,20-01-09-014,450
211,KATSINA,BAKORI,KAKUMI,DANDAUDU K/G MAI UNG,20-01-09-015,428
212,KATSINA,BAKORI,KAKUMI,DANGUZA PRI SCHOOL,20-01-09-016,596
213,KATSINA,BAKORI,KAKUMI,"DANWAILA/NA SAMBO - PRI SCHOOL,",20-01-09-017,442
214,KATSINA,BAKORI,GUGA,GUGA GARI I - MODEL PRI. SCHOOL,20-01-10-001,718
215,KATSINA,BAKORI,GUGA,GUGA GARI II - GUGA DISPENSARY,20-01-10-002,891
216,KATSINA,BAKORI,GUGA,GUGA GARI III - K/G SARIN FAWA,20-01-10-003,822
217,KATSINA,BAKORI,GUGA,HADO I MAI GOJE PRI SCHOOL,20-01-10-004,769
218,KATSINA,BAKORI,GUGA,HADO II - K/G MAI BAKA,20-01-10-005,438
219,KATSINA,BAKORI,GUGA,GALADIMA K/G DANKWARI,20-01-10-006,344
220,KATSINA,BAKORI,GUGA,RUNJI - K/G MAI UNG,20-01-10-007,442
221,KATSINA,BAKORI,GUGA,UNG TAURA - K/G SAMBO KAILO,20-01-10-008,422
222,KATSINA,BAKORI,GUGA,UNG UMMARU - K/G BELLO DANBARAU,20-01-10-009,501
223,KATSINA,BAKORI,GUGA,MAGOJE - K/G ALH.ADAMU BAIYE,20-01-10-010,583
224,KATSINA,BAKORI,GUGA,DANJABA I - K/G MAI UNG. NA DOMA,20-01-10-011,598
225,KATSINA,BAKORI,GUGA,DANJABA II - K/G ALH. AIYO YANSHUNI,20-01-10-012,530
226,KATSINA,BAKORI,GUGA,DANJABA III - DANJABA JUNCTION,20-01-10-013,497
227,KATSINA,BAKORI,GUGA,MADARASATU HIZBURRAHIM ISLAMIYYA,20-01-10-014,01
228,KATSINA,BAKORI,GUGA,GUGA GARI III K/G DOGON DRIVER,20-01-10-015,00
229,KATSINA,BAKORI,GUGA,MAGOJE MAI KADANYA K/G IDRIS ABDULLAHI,20-01-10-016,00
230,KATSINA,BAKORI,KANDARAWA,KANDARAWA - PRI SCHOOL,20-01-11-001,631
231,KATSINA,BAKORI,KANDARAWA,MAIYADIYA I K/G MAI GARI,20-01-11-002,980
232,KATSINA,BAKORI,KANDARAWA,MAIYADIYA II K/G MAI GARI,20-01-11-003,580
233,KATSINA,BAKORI,KANDARAWA,MAIYADIYA III - YAR YARA,20-01-11-004,635
234,KATSINA,BAKORI,KANDARAWA,UNG  UMMARU I K/G WAKILIN MAIGARI,20-01-11-005,664
235,KATSINA,BAKORI,KANDARAWA,UNG UMMARU II - PRI SCHOOL,20-01-11-006,733
236,KATSINA,BAKORI,KANDARAWA,UNG UMMARU III PRI. SCHOOL,20-01-11-007,622
237,KATSINA,BAKORI,KANDARAWA,DANJAGALE - K/G MAI GARI,20-01-11-008,530
238,KATSINA,BAKORI,KANDARAWA,ALABIRA - K/G MAI UNG,20-01-11-009,482
239,KATSINA,BAKORI,KANDARAWA,UNG TANKO / PRY. SCH/,20-01-11-010,579
240,KATSINA,BAKORI,KANDARAWA,BALBELU - K/G MAI UNG.,20-01-11-011,674
241,KATSINA,BAKORI,KANDARAWA,KANDARAWA II K/G MAI GARI.,20-01-11-012,617
242,KATSINA,BAKORI,KANDARAWA,GIDAN KANAWA HEALTH POST,20-01-11-013,52
243,KATSINA,BATAGARAWA,BATAGARAWA A,DUGAZAWA/ALKALAWA UNG. RINJI O.S,20-02-01-001,544
244,KATSINA,BATAGARAWA,BATAGARAWA A,YANDADI YANDADI O.S,20-02-01-002,255
245,KATSINA,BATAGARAWA,BATAGARAWA A,BAGANZAMAWA - BAGANZAMAWA O.S,20-02-01-003,711
246,KATSINA,BATAGARAWA,BATAGARAWA A,KAWO - KAWO O.S,20-02-01-004,844
247,KATSINA,BATAGARAWA,BATAGARAWA A,BORAGUNDURA B-BORAGUNDURA,20-02-01-005,749
248,KATSINA,BATAGARAWA,BATAGARAWA A,BORA GUNDDARA B/GUNDARA O.S,20-02-01-006,438
249,KATSINA,BATAGARAWA,BATAGARAWA A,AUTAWA GARI O.S,20-02-01-007,568
250,KATSINA,BATAGARAWA,BATAGARAWA A,BUSSAU - BUSSAU PRI SCHOOL,20-02-01-008,683
251,KATSINA,BATAGARAWA,BATAGARAWA A,BATAGARAWA PRI. SCHOOL,20-02-01-009,1677
252,KATSINA,BATAGARAWA,BATAGARAWA A,DUGAZAWA - DUGAZAWA O.S,20-02-01-010,470
253,KATSINA,BATAGARAWA,BATAGARAWA A,BAT. LOW COAST - PRI SCHOOL,20-02-01-011,1738
